FileName,ArgumentsPerOperation,AveragePathLength,BiggestRootCoverage,DataWeight,DistinctMessageRatio,LackOfMessageLevelCohesion,LongestPath,NumberOfRootPaths,ServiceInterfaceDataCohesion,WeightedServiceInterfaceCount,ApiFormat
amazonaws.com-dlm-2018-01-12-swagger.yaml.json,9,1.6667,1,67,0.2963,0.7309,2,1,1,5,openapi
amazonaws.com-dms-2016-01-01-swagger.yaml.json,9.6383,1,0.0213,1055,0.2986,0.6842,1,47,0.8982,47,openapi
amazonaws.com-docdb-2014-10-31-swagger.yaml.json,11.8452,1,0.0238,1595,0.2052,0.6632,1,42,0.8881,84,openapi
amazonaws.com-ds-2015-04-16-swagger.yaml.json,9.04,1,0.02,590,0.1761,0.6644,1,50,1,50,openapi
amazonaws.com-dynamodb-2011-12-05-swagger.yaml.json,9.5385,1,0.0769,190,0.3099,0.6653,1,13,1,13,openapi
amazonaws.com-dynamodb-2012-08-10-swagger.yaml.json,9.1944,1,0.0278,608,0.2573,0.6917,1,36,0.9722,36,openapi
amazonaws.com-ec2-2016-11-15-swagger.yaml.json,11.9053,1,0.0028,11392,0.5578,0.6837,1,359,0.5034,718,openapi
amazonaws.com-ec2-instance-connect-2018-04-02-swagger.yaml.json,9,1,1,14,0.4286,0,1,1,0,1,openapi
amazonaws.com-ecr-2015-09-21-swagger.yaml.json,9.2308,1,0.0385,349,0.2642,0.584,1,26,1,26,openapi
amazonaws.com-ecs-2014-11-13-swagger.yaml.json,9.2667,1,0.0222,867,0.2292,0.7076,1,45,1,45,openapi
amazonaws.com-eks-2017-11-01-swagger.yaml.json,8.7273,2.4286,0.7273,165,0.2353,0.6202,4,2,1,11,openapi
amazonaws.com-elasticache-2015-02-02-swagger.yaml.json,12.0109,1,0.0217,1852,0.1707,0.6726,1,46,0.9785,92,openapi
amazonaws.com-elasticbeanstalk-2010-12-01-swagger.yaml.json,11.5,1,0.0227,1521,0.3377,0.6664,1,44,0.7497,88,openapi
amazonaws.com-elasticfilesystem-2015-02-01-swagger.yaml.json,8.9286,3,1,174,0.2128,0.6363,4,1,1,14,openapi
amazonaws.com-elasticloadbalancing-2012-06-01-swagger.yaml.json,10.7931,1,0.0345,683,0.2226,0.6202,1,29,0.9661,58,openapi
amazonaws.com-elasticloadbalancingv2-2015-12-01-swagger.yaml.json,11.1029,1,0.0294,811,0.1878,0.6488,1,34,0.971,68,openapi
amazonaws.com-elasticmapreduce-2009-03-31-swagger.yaml.json,9.2414,1,0.0345,366,0.4327,0.6777,1,29,0.9655,29,openapi
amazonaws.com-elastictranscoder-2012-09-25-swagger.yaml.json,8.5294,2.8182,1,320,0.1694,0.6782,4,1,1,17,openapi
amazonaws.com-email-2010-12-01-swagger.yaml.json,10.7746,1,0.0141,1706,0.2339,0.6515,1,71,0.7289,142,openapi
amazonaws.com-entitlement.marketplace-2017-01-11-swagger.yaml.json,9,1,1,15,0.6,0,1,1,0,1,openapi
amazonaws.com-es-2015-01-01-swagger.yaml.json,8.913,3.4286,1,370,0.2381,0.6742,5,1,1,23,openapi
amazonaws.com-eventbridge-2015-10-07-swagger.yaml.json,9,1,0.0323,354,0.2653,0.6405,1,31,1,31,openapi
amazonaws.com-events-2015-10-07-swagger.yaml.json,9,1,0.0323,354,0.2653,0.6405,1,31,1,31,openapi
amazonaws.com-firehose-2015-08-04-swagger.yaml.json,9,1,0.0833,211,0.2881,0.7053,1,12,0.9167,12,openapi
amazonaws.com-fms-2018-01-01-swagger.yaml.json,9.4286,1,0.0714,189,0.2603,0.6365,1,14,1,14,openapi
amazonaws.com-forecast-2018-06-26-swagger.yaml.json,9.4615,1,0.0385,354,0.2778,0.6683,1,26,1,26,openapi
amazonaws.com-forecastquery-2018-06-26-swagger.yaml.json,9,1,1,13,0.4286,0,1,1,0,1,openapi
amazonaws.com-fsx-2018-03-01-swagger.yaml.json,9.3636,1,0.0909,208,0.2235,0.6889,1,11,1,11,openapi
amazonaws.com-gamelift-2015-10-01-swagger.yaml.json,9,1,0.0137,1114,0.21,0.685,1,73,1,73,openapi
amazonaws.com-glacier-2012-06-01-swagger.yaml.json,10,4,1,391,0.175,0.6286,6,1,1,33,openapi
amazonaws.com-globalaccelerator-2018-08-08-swagger.yaml.json,9,1,0.0588,261,0.2079,0.6412,1,17,1,17,openapi
amazonaws.com-glue-2017-03-31-swagger.yaml.json,9.374,1,0.0081,1771,0.2013,0.7177,1,123,1,123,openapi
amazonaws.com-greengrass-2017-06-07-swagger.yaml.json,8.9556,4.25,0.9667,1081,0.3139,0.633,6,2,0.9172,90,openapi
amazonaws.com-groundstation-2019-05-23-swagger.yaml.json,8.56,1.5333,0.2,307,0.28,0.6855,3,9,1,25,openapi
amazonaws.com-guardduty-2017-11-28-swagger.yaml.json,9.2667,3.2,0.8444,472,0.2833,0.6552,4,3,1,45,openapi
amazonaws.com-health-2016-08-04-swagger.yaml.json,10.3333,1,0.1667,108,0.55,0.6576,1,6,0.8333,6,openapi
amazonaws.com-iam-2010-05-08-swagger.yaml.json,10.6679,1,0.0071,3741,0.17,0.6337,1,140,0.9858,280,openapi
amazonaws.com-importexport-2010-06-01-swagger.yaml.json,10.9167,1,0.1667,315,0.1269,0.5378,1,6,1,12,openapi
amazonaws.com-inspector-2016-02-16-swagger.yaml.json,9.5135,1,0.027,415,0.265,0.6639,1,37,1,37,openapi
amazonaws.com-iot-2015-05-28-swagger.yaml.json,9,2.0531,0.1067,2104,0.1787,0.7061,6,54,1,178,openapi
amazonaws.com-iot-data-2015-05-28-swagger.yaml.json,8.75,2.5,0.75,67,0.1351,0.2269,3,2,1,4,openapi
amazonaws.com-iot-jobs-data-2017-09-29-swagger.yaml.json,9.5,3.6667,1,69,0.2667,0.5358,4,1,1,4,openapi
amazonaws.com-iot1click-devices-2018-05-14-swagger.yaml.json,8.8462,2.4545,0.6923,130,0.2676,0.6204,3,3,1,13,openapi
amazonaws.com-iot1click-projects-2018-05-14-swagger.yaml.json,9.0625,3.125,0.8125,162,0.2326,0.6459,6,2,1,16,openapi
amazonaws.com-iotanalytics-2017-11-27-swagger.yaml.json,8.6471,1.9444,0.2647,385,0.2033,0.7077,4,9,1,34,openapi
amazonaws.com-iotevents-2018-07-27-swagger.yaml.json,8.5,1.5,0.375,190,0.2017,0.6561,3,5,1,16,openapi
amazonaws.com-iotevents-data-2018-10-23-swagger.yaml.json,9,2,0.75,41,0.3462,0.6657,3,2,1,4,openapi
amazonaws.com-iotthingsgraph-2018-09-06-swagger.yaml.json,9.5714,1,0.0286,465,0.1748,0.6288,1,35,1,35,openapi
amazonaws.com-kafka-2018-11-14-swagger.yaml.json,9.3889,3.5,1,237,0.2581,0.678,5,1,1,18,openapi
amazonaws.com-kinesis-2013-12-02-swagger.yaml.json,9.2222,1,0.037,452,0.2294,0.4868,1,27,1,27,openapi
amazonaws.com-kinesis-video-media-2017-09-30-swagger.yaml.json,8,1,1,14,0.375,0,1,1,0,1,openapi
amazonaws.com-kinesisanalytics-2015-08-14-swagger.yaml.json,9,1,0.05,246,0.1938,0.7201,1,20,0.95,20,openapi
amazonaws.com-kinesisanalyticsv2-2018-05-23-swagger.yaml.json,9,1,0.0417,340,0.2195,0.6882,1,24,1,24,openapi
amazonaws.com-kinesisvideo-2017-09-30-swagger.yaml.json,8.2,1,0.1,118,0.2286,0.6639,1,10,1,10,openapi
amazonaws.com-kms-2014-11-01-swagger.yaml.json,9.1951,1,0.0244,499,0.1508,0.6483,1,41,1,41,openapi
amazonaws.com-lakeformation-2017-03-31-swagger.yaml.json,9.4615,1,0.0769,163,0.2537,0.7047,1,13,1,13,openapi
amazonaws.com-lambda-2014-11-11-swagger.yaml.json,9.6364,3,1,232,0.3265,0.5049,4,1,1,11,openapi
amazonaws.com-lambda-2015-03-31-swagger.yaml.json,9.359,3.6667,0.5897,660,0.1948,0.6965,7,6,1,39,openapi
amazonaws.com-lex-models-2017-04-19-swagger.yaml.json,9.4444,3,0.4444,546,0.1702,0.642,6,6,1,36,openapi
amazonaws.com-license-manager-2018-08-01-swagger.yaml.json,9,1,0.0667,174,0.2143,0.6606,1,15,1,15,openapi
amazonaws.com-lightsail-2016-11-28-swagger.yaml.json,9,1,0.0095,1433,0.1148,0.5465,1,105,1,105,openapi
amazonaws.com-logs-2014-03-28-swagger.yaml.json,9.359,1,0.0256,464,0.2535,0.6658,1,39,1,39,openapi
amazonaws.com-machinelearning-2014-12-12-swagger.yaml.json,9.2857,1,0.0357,625,0.2687,0.5474,1,28,1,28,openapi
amazonaws.com-macie-2017-12-19-swagger.yaml.json,9.5714,1,0.1429,121,0.3824,0.2782,1,7,1,7,openapi
amazonaws.com-managedblockchain-2018-09-24-swagger.yaml.json,10.4444,3.2727,0.8889,256,0.2296,0.6988,6,2,1,18,openapi
amazonaws.com-marketplacecommerceanalytics-2015-07-01-swagger.yaml.json,9,1,0.5,30,0.6667,0.0625,1,2,1,2,openapi
amazonaws.com-mediaconnect-2018-11-14-swagger.yaml.json,9.0588,3.5,0.8235,260,0.216,0.6699,5,2,1,17,openapi
amazonaws.com-mediaconvert-2017-08-29-swagger.yaml.json,9.16,2.4615,1,439,0.14,0.7423,3,1,1,25,openapi
amazonaws.com-medialive-2017-10-14-swagger.yaml.json,9.4516,3,1,602,0.146,0.6745,4,1,1,31,openapi
amazonaws.com-mediapackage-2017-10-12-swagger.yaml.json,8.9444,2.1,0.3889,394,0.1667,0.6488,5,4,0.8431,18,openapi
amazonaws.com-mediapackage-vod-2018-11-07-swagger.yaml.json,8.9167,1.5,0.3333,176,0.1354,0.6108,2,3,1,12,openapi
amazonaws.com-mediastore-2017-09-01-swagger.yaml.json,9.1111,1,0.0556,182,0.172,0.5703,1,18,1,18,openapi
